generation,avg_fitness,max_fitness,signals_emitted,iconicity,mutual_info,jsd_no_pred,jsd_pred,silence_corr,sender_fit_corr,traj_fluct_ratio,receiver_fit_corr,response_fit_corr,silence_onset_jsd,silence_move_delta,avg_base_hidden,min_base_hidden,max_base_hidden,avg_signal_hidden,min_signal_hidden,max_signal_hidden,zone_deaths,signal_entropy,freeze_zone_deaths,food_mi
53080,1435.4,2750.0,848204,0.4602,0.0030,0.3478,0.2762,0.0796,0.0240,1.2928,0.7082,-0.2312,0.0000,0.0000,8.6,6,11,4.6,2,12,721,1.5847,544,0.1205
53090,1814.8,3600.0,840088,0.5904,0.0003,0.3323,0.2515,0.1849,0.0000,1.5838,0.7113,-0.2022,0.0000,0.0000,8.6,6,11,4.6,2,12,900,1.5789,319,0.1187
53100,1587.9,3200.0,798720,0.4512,0.0006,0.3290,0.2585,0.1038,0.0000,1.4408,0.7429,-0.2256,0.0000,0.0000,8.6,7,11,4.8,2,13,896,1.5748,515,0.1122
53110,1787.3,3700.0,858044,0.4985,0.0014,0.3303,0.2555,-0.0056,0.0380,1.4403,0.7567,-0.1339,0.0000,0.0000,8.6,6,11,4.7,2,13,837,1.5602,354,0.1062
53120,1634.2,3250.0,823897,0.4541,0.0003,0.3365,0.2629,0.1955,0.0284,1.4250,0.7938,-0.2045,0.0000,0.0000,8.6,7,11,4.6,2,11,884,1.5757,472,0.1138
53130,1682.6,3250.0,843352,0.4719,0.0017,0.3454,0.2720,0.2029,0.0000,1.4312,0.6927,-0.1522,0.0000,0.0000,8.6,6,11,4.7,2,13,897,1.5857,516,0.1123
53140,1724.4,3350.0,830581,0.4926,0.0015,0.3373,0.2507,0.2393,0.0000,1.4622,0.7846,-0.2170,0.0000,0.0000,8.7,5,11,4.8,2,13,895,1.5733,411,0.1087
53150,1744.3,3350.0,831491,0.5024,0.0013,0.3345,0.2527,0.1006,0.0000,1.4995,0.7685,-0.2230,0.0000,0.0000,8.6,6,11,5.0,2,11,894,1.6061,334,0.1055
53160,1621.9,3250.0,811191,0.4807,0.0004,0.3294,0.2474,0.0755,0.0316,1.4879,0.7640,-0.2192,0.0000,0.0000,8.6,7,11,4.8,2,13,931,1.5959,415,0.1073
53170,1586.5,3300.0,836004,0.5066,0.0004,0.3343,0.2481,0.0715,0.0000,1.5029,0.7576,-0.2218,0.0000,0.0000,8.6,6,11,4.8,2,12,837,1.5879,458,0.1153
53180,1674.7,3350.0,835829,0.4870,0.0015,0.3319,0.2477,0.1649,0.0000,1.5251,0.7241,-0.1593,0.0000,0.0000,8.6,6,10,5.1,2,11,883,1.5921,390,0.1079
53190,1636.6,3350.0,820088,0.4942,0.0004,0.3408,0.2501,0.1792,0.0000,1.0755,0.7602,-0.1798,0.0000,0.0000,8.6,5,11,5.1,2,11,950,1.6087,564,0.1076
53200,1177.8,2400.0,811979,0.4086,0.0005,0.3787,0.3175,0.1001,0.0225,1.2714,0.6617,-0.1064,0.0000,0.0000,8.6,6,11,5.1,2,11,798,1.6258,637,0.1304
53210,1736.7,3400.0,841581,0.5255,0.0007,0.3404,0.2562,0.2242,0.0000,1.9920,0.7183,-0.2018,0.0000,0.0000,8.7,6,11,5.0,2,12,845,1.5891,393,0.1097
53220,1545.0,3150.0,815171,0.4979,0.0009,0.3439,0.2637,0.0809,0.0000,1.9929,0.7485,-0.2359,0.0000,0.0000,8.6,6,10,5.5,2,12,887,1.6031,563,0.1152
53230,1429.3,3250.0,838727,0.4364,0.0012,0.3663,0.2812,0.1137,0.0000,1.9691,0.7329,-0.1564,0.0000,0.0000,8.7,7,14,5.6,2,12,865,1.6339,470,0.1223
53240,1507.3,2900.0,830512,0.4367,0.0014,0.3566,0.2693,-0.0009,0.0000,1.9681,0.6477,-0.1310,0.0000,0.0000,8.7,6,11,5.1,2,12,791,1.6300,613,0.1211
53250,1601.5,3350.0,805458,0.4052,0.0013,0.3350,0.2507,0.1437,0.0000,1.9679,0.7181,-0.2432,0.0000,0.0000,8.6,6,11,5.5,2,12,894,1.6209,694,0.1133
53260,1752.0,3400.0,824660,0.4898,0.0008,0.3297,0.2449,0.1884,0.0000,1.9450,0.6843,-0.1260,0.0000,0.0000,8.7,6,11,5.2,2,12,865,1.6072,401,0.1106
53270,1685.5,3550.0,803083,0.4605,0.0006,0.3331,0.2572,0.0436,0.0000,1.9512,0.7139,-0.2460,0.0000,0.0000,8.7,6,10,5.2,2,12,931,1.5925,468,0.1075
53280,1728.9,3500.0,829072,0.5015,0.0010,0.3383,0.2567,0.1544,0.0000,1.9553,0.7200,-0.1533,0.0000,0.0000,8.6,6,11,5.4,2,13,870,1.6347,589,0.1113
