generation,avg_fitness,max_fitness,signals_emitted,iconicity,mutual_info,jsd_no_pred,jsd_pred,silence_corr,sender_fit_corr,traj_fluct_ratio,receiver_fit_corr,response_fit_corr,silence_onset_jsd,silence_move_delta
138,20.5,81.0,311,-0.0061,0.1017,0.3098,0.3605,-0.4007,-0.0882,0.5147,0.4228,0.0000,0.0000,0.0000
139,20.3,86.0,367,-0.0493,0.0291,0.3597,0.3213,-0.4394,0.1466,0.3908,0.4837,0.0000,0.0000,0.0000
140,29.1,74.0,537,0.0111,0.0459,0.0738,0.3042,-0.3695,-0.2077,0.4743,0.5774,0.0000,0.0000,0.0000
141,18.5,51.0,441,-0.0121,0.0169,0.1691,0.0260,-0.3140,-0.0356,0.5399,0.5825,0.0000,0.0000,0.0000
142,31.5,82.0,699,0.0097,0.0114,0.2885,0.2334,-0.3721,-0.1879,0.5422,0.5680,0.0000,0.0000,0.0000
143,22.1,67.0,427,-0.0325,0.0675,0.2714,0.3042,-0.4004,0.0882,0.7006,0.5305,0.0000,0.0000,0.0000
144,17.4,39.0,463,-0.0308,0.0503,0.1877,0.4070,-0.3263,0.0396,0.6488,0.6120,0.0000,0.0000,0.0000
145,19.7,68.0,494,-0.0460,0.0503,0.1981,0.2853,-0.3781,-0.0678,0.6886,0.5188,0.0000,0.0000,0.0000
146,19.9,66.0,452,-0.0188,0.0307,0.1578,0.3585,-0.1193,-0.1388,0.7579,0.4943,0.0000,0.0000,0.0000
147,21.5,73.0,543,-0.0092,0.0366,0.0976,0.2757,-0.3488,-0.0035,0.7561,0.5315,0.0000,0.0000,0.0000
148,21.3,56.0,546,-0.0278,0.0252,0.1275,0.1743,-0.4520,0.0147,0.7919,0.5515,0.0000,0.0000,0.0000
149,16.1,53.0,417,-0.0304,0.0233,0.1160,0.1032,-0.3925,-0.0652,0.7649,0.5443,0.0000,0.0000,0.0000
150,19.1,49.0,428,-0.0028,0.0420,0.1062,0.1262,-0.4799,-0.3358,0.6770,0.5841,0.0000,0.0000,0.0000
151,17.9,44.0,442,-0.0302,0.0275,0.0786,0.0873,-0.4666,0.1450,0.5810,0.6029,0.0000,0.0000,0.0000
